GRAND PRIX,DATE,WINNER,CAR,LAPS,TIME
Australia,17 mar. 2019,Valtteri Bottas,MERCEDES,58,1:25:27.325
Bahrain,31 mar. 2019,Lewis Hamilton,MERCEDES,57,1:34:21.295
China,14 Apr 2019,Lewis Hamilton,MERCEDES,56,1:32:06.350
Azerbaijan,28 Apr 2019,Valtteri Bottas,MERCEDES,51,1:31:52.942
Spain,12 May 2019,Lewis Hamilton,MERCEDES,66,1:35:50.443
Monaco,26 May 2019,Lewis Hamilton,MERCEDES,78,1:43:28.437
Canada,09 jun. 2019,Lewis Hamilton,MERCEDES,70,1:29:07.084
France,23 jun. 2019,Lewis Hamilton,MERCEDES,53,1:24:31.198
Austria,30 jun. 2019,Max Verstappen,RED BULL RACING HONDA,71,1:22:01.822
Great Britain,14 jul. 2019,Lewis Hamilton,MERCEDES,52,1:21:08.452
Germany,28 jul. 2019,Max Verstappen,RED BULL RACING HONDA,64,1:44:31.275
Hungary,04 Aug 2019,Lewis Hamilton,MERCEDES,70,1:35:03.796
Belgium,01 Sep 2019,Charles Leclerc,FERRARI,44,1:23:45.710
Italy,08 Sep 2019,Charles Leclerc,FERRARI,53,1:15:26.665
Singapore,22 Sep 2019,Sebastian Vettel,FERRARI,61,1:58:33.667
Russia,29 Sep 2019,Lewis Hamilton,MERCEDES,53,1:33:38.992
Japan,13 Oct 2019,Valtteri Bottas,MERCEDES,52,1:21:46.755
Mexico,27 Oct 2019,Lewis Hamilton,MERCEDES,71,1:36:48.904
United States,03 nov. 2019,Valtteri Bottas,MERCEDES,56,1:33:55.653
Brazil,17 nov. 2019,Max Verstappen,RED BULL RACING HONDA,71,1:33:14.678
Abu Dhabi,01 Dec 2019,Lewis Hamilton,MERCEDES,55,1:34:05.715
